i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	34	0	2	0.08	18.5	37	0.0
2	39	0	2	0.11	27.0	54	0.0
3	23	0	2	0.07	20.5	41	0.0
4	36	0	2	0.1175	28.5	57	0.25
5	59	1	1	0.1625	34.5	69	1.0
6	8	0	2	0.015	3.5	7	0.0
7	26	0	2	0.08	24.0	48	0.0
8	31	0	2	0.08	19.0	38	0.0
9	69	0	2	0.1675	44.0	88	0.75
10	20	0	2	0.05	11.5	23	0.0
11	17	0	2	0.045	13.0	26	0.25
12	27	0	2	0.065	13.5	27	0.0
13	36	0	2	0.12	29.5	59	0.0
14	26	0	2	0.085	20.5	41	0.0
15	35	0	2	0.1175	28.5	57	0.0
16	55	0	2	0.165	39.0	78	0.75
17	15	0	2	0.0575	12.0	24	0.0
18	21	0	2	0.0675	14.0	28	0.0
19	30	0	2	0.1	22.5	45	0.5
20	23	0	2	0.085	19.0	38	0.0
21	28	0	2	0.1075	23.5	47	0.25
22	21	0	2	0.075	18.5	37	0.25
23	71	1	1	0.1825	42.5	85	1.0
24	19	0	2	0.0725	17.0	34	0.0
25	38	0	2	0.1	22.0	44	0.25
26	17	0	2	0.0375	15.0	30	0.0
27	8	0	2	0.015	6.0	12	0.0
28	22	0	2	0.065	14.0	28	0.0
29	25	0	2	0.085	21.0	42	0.0
30	22	0	2	0.075	19.5	39	0.0
31	23	0	2	0.0825	17.5	35	0.0
32	61	0	2	0.165	41.0	82	0.75
33	28	0	2	0.0825	24.5	49	0.0
34	47	0	2	0.135	31.0	62	0.25
35	10	0	2	0.02	8.0	16	0.0
36	37	0	2	0.1125	25.0	50	0.5
37	30	0	2	0.0975	25.0	50	0.0
38	18	0	2	0.0475	11.0	22	0.0
39	29	0	2	0.1125	27.0	54	0.0
40	20	0	2	0.045	16.0	32	0.0
41	20	0	2	0.0725	17.0	34	0.0
42	36	0	2	0.09	23.0	46	0.25
43	13	0	2	0.0325	9.0	18	0.0
44	24	0	2	0.055	13.5	27	0.0
45	36	0	2	0.1075	28.0	56	0.0
46	32	0	2	0.1025	30.0	60	0.25
47	50	0	2	0.1575	39.5	79	0.5
48	26	0	2	0.09	20.5	41	0.0
49	29	0	2	0.0925	20.5	41	0.0
50	26	0	2	0.0825	18.5	37	0.0
51	48	0	2	0.1225	33.0	66	0.25
52	29	0	2	0.0675	13.5	27	0.25
53	48	0	2	0.1575	37.5	75	0.25
54	28	0	2	0.0925	23.5	47	0.0
55	34	0	2	0.08	20.5	41	0.0
56	23	0	2	0.0775	19.5	39	0.25
57	52	0	2	0.145	38.0	76	0.75
58	89	0	2	0.21	56.0	112	0.75
59	26	0	2	0.0975	23.5	47	0.0
60	57	0	2	0.1425	30.0	60	0.75
61	39	0	2	0.1175	27.5	55	0.25
62	22	0	2	0.075	16.0	32	0.25
63	36	0	2	0.13	31.5	63	0.0
64	26	0	2	0.0675	21.0	42	0.0
65	20	0	2	0.0625	15.5	31	0.0
66	44	0	2	0.105	29.0	58	0.5
67	11	0	2	0.0325	7.5	15	0.0
68	38	0	2	0.13	35.0	70	0.0
69	29	0	2	0.1025	25.0	50	0.25
70	36	0	2	0.105	25.5	51	0.0
71	38	0	2	0.09	35.0	70	0.5
72	52	0	2	0.13	27.0	54	0.25
73	29	0	2	0.105	22.5	45	0.25
74	33	0	2	0.105	27.0	54	0.0
75	27	0	2	0.0625	15.0	30	0.0
76	32	0	2	0.12	28.5	57	0.25
77	28	0	2	0.0775	21.5	43	0.25
78	33	0	2	0.1225	27.5	55	0.0
79	47	0	2	0.13	27.0	54	0.5
80	28	0	2	0.08	22.0	44	0.0
81	22	0	2	0.0875	19.0	38	0.0
82	16	0	2	0.0525	14.0	28	0.0
83	24	0	2	0.06	16.5	33	0.0
84	28	0	2	0.065	14.0	28	0.0
85	26	0	2	0.09	21.0	42	0.0
86	25	0	2	0.0575	11.5	23	0.0
87	29	0	2	0.0875	22.0	44	0.5
88	35	0	2	0.115	26.0	52	0.0
89	28	0	2	0.0925	19.5	39	0.25
90	43	0	2	0.12	33.5	67	0.5
91	33	0	2	0.085	26.0	52	0.0
92	23	0	2	0.07	17.5	35	0.5
93	37	0	2	0.1075	26.5	53	0.75
94	24	0	2	0.055	22.0	44	0.0
95	33	0	2	0.09	25.0	50	0.25
96	28	0	2	0.11	22.5	45	0.0
97	31	0	2	0.085	19.0	38	0.25
98	23	0	2	0.0675	17.5	35	0.0
99	34	0	2	0.1025	26.0	52	0.25
100	47	0	2	0.12	29.0	58	0.25
101	20	0	2	0.065	15.0	30	0.0
102	21	0	2	0.06	15.0	30	0.0
103	20	0	2	0.045	18.0	36	0.0
104	9	0	2	0.025	5.5	11	0.0
105	32	0	2	0.0825	22.5	45	0.0
106	22	0	2	0.06	16.5	33	0.0
107	56	1	1	0.1575	43.5	87	1.0
108	25	0	2	0.0775	20.0	40	0.0
109	35	0	2	0.0925	21.5	43	0.0
110	3	0	2	0.0025	1.0	2	0.0
111	27	0	2	0.0675	21.5	43	0.0
112	35	0	2	0.085	19.0	38	0.5
113	35	0	2	0.09	22.5	45	0.0
114	36	0	2	0.125	34.0	68	0.5
115	27	0	2	0.0875	21.0	42	0.0
116	29	0	2	0.0675	17.0	34	0.25
117	7	0	2	0.0125	5.0	10	0.0
118	30	0	2	0.1075	23.5	47	0.25
119	29	0	2	0.0925	19.5	39	0.0
120	27	0	2	0.095	20.5	41	0.0
121	19	0	2	0.06	17.0	34	0.0
122	37	0	2	0.0875	20.5	41	0.75
123	21	0	2	0.085	17.5	35	0.25
124	24	0	2	0.0675	18.5	37	0.25
125	23	0	2	0.085	19.0	38	0.0
126	17	0	2	0.0575	13.5	27	0.0
127	23	0	2	0.0775	20.0	40	0.0
128	12	0	2	0.0425	9.5	19	0.0
129	34	0	2	0.0925	22.0	44	0.0
130	39	0	2	0.135	29.5	59	0.25
131	49	0	2	0.1375	37.0	74	0.25
132	33	0	2	0.105	22.5	45	0.25
133	27	0	2	0.07	20.5	41	0.0
134	14	0	2	0.0325	8.5	17	0.0
135	35	0	2	0.1275	29.5	59	0.0
136	24	0	2	0.055	22.0	44	0.0
137	38	0	2	0.13	33.5	67	0.25
138	33	0	2	0.12	26.5	53	0.25
139	30	0	2	0.075	20.0	40	0.0
140	41	0	2	0.115	26.0	52	0.25
141	34	0	2	0.1	27.5	55	0.0
142	26	0	2	0.0825	22.0	44	0.0
143	22	0	2	0.0725	18.5	37	0.0
144	27	0	2	0.1	20.5	41	0.0
145	24	0	2	0.055	17.0	34	0.0
146	22	0	2	0.075	17.5	35	0.0
147	25	0	2	0.0725	18.5	37	0.25
148	34	0	2	0.095	25.0	50	0.0
149	28	0	2	0.0725	16.5	33	0.25
150	13	0	2	0.0325	9.0	18	0.0
151	68	0	2	0.1975	46.0	92	0.75
152	20	0	2	0.06	13.5	27	0.0
153	52	0	2	0.165	40.5	81	0.75
154	15	0	2	0.0425	11.5	23	0.0
155	16	0	2	0.06	13.0	26	0.0
156	71	0	2	0.1575	35.0	70	0.75
157	32	0	2	0.095	20.0	40	0.25
158	13	0	2	0.03	9.0	18	0.0
159	19	0	2	0.0525	16.5	33	0.0
160	25	0	2	0.09	23.0	46	0.25
161	27	0	2	0.0925	19.5	39	0.0
162	71	0	2	0.205	50.0	100	0.75
163	16	0	2	0.0525	11.5	23	0.0
164	30	0	2	0.1125	23.5	47	0.0
165	26	0	2	0.07	21.0	42	0.0
166	24	0	2	0.055	13.0	26	0.25
167	29	0	2	0.0825	23.0	46	0.0
168	12	0	2	0.0375	8.0	16	0.0
169	20	0	2	0.045	11.5	23	0.0
170	103	0	2	0.235	62.0	124	0.75
171	49	0	2	0.1525	31.0	62	0.25
172	56	0	2	0.14	31.0	62	0.5
173	14	0	2	0.035	7.5	15	0.0
174	29	0	2	0.0775	16.0	32	0.0
175	33	0	2	0.1325	27.5	55	0.5
176	30	0	2	0.075	19.0	38	0.0
177	45	0	2	0.1175	30.0	60	0.25
178	30	0	2	0.11	25.0	50	0.0
179	37	0	2	0.11	31.0	62	0.0
180	40	0	2	0.1125	25.5	51	0.25
181	35	0	2	0.1075	30.5	61	0.0
182	13	0	2	0.0425	10.5	21	0.0
183	59	0	2	0.185	43.0	86	0.75
184	17	0	2	0.055	13.0	26	0.0
185	19	0	2	0.065	15.0	30	0.25
186	106	0	2	0.23	59.0	118	0.75
187	52	0	2	0.1525	33.0	66	0.25
188	10	0	2	0.0325	7.5	15	0.0
189	19	0	2	0.0775	16.0	32	0.0
190	33	1	1	0.1225	28.0	56	1.0
191	31	0	2	0.0725	18.5	37	0.25
192	31	0	2	0.0875	21.0	42	0.5
193	35	0	2	0.1375	29.5	59	0.25
194	21	0	2	0.0475	13.5	27	0.25
195	23	0	2	0.06	13.5	27	0.25
196	22	0	2	0.0825	18.5	37	0.25
197	39	0	2	0.125	26.5	53	0.25
198	39	0	2	0.145	31.0	62	0.25
199	30	0	2	0.1025	22.0	44	0.25
200	30	0	2	0.1	24.0	48	0.75
201	11	0	2	0.0225	9.0	18	0.0
202	54	0	2	0.1325	28.5	57	0.25
203	26	0	2	0.0775	17.0	34	0.0
204	21	0	2	0.0475	13.0	26	0.0
205	80	1	1	0.195	50.5	101	1.0
206	21	0	2	0.0625	14.0	28	0.0
207	22	0	2	0.0875	20.0	40	0.0
208	25	0	2	0.07	14.5	29	0.0
209	37	0	2	0.1075	27.5	55	0.25
210	11	0	2	0.03	7.5	15	0.25
211	15	0	2	0.045	10.5	21	0.0
212	26	0	2	0.0875	19.5	39	0.25
213	43	0	2	0.12	25.5	51	0.25
214	70	1	1	0.17	44.5	89	1.0
215	46	0	2	0.1125	26.5	53	0.25
216	38	0	2	0.1225	28.5	57	0.5
217	21	0	2	0.075	18.5	37	0.0
218	23	0	2	0.065	15.5	31	0.25
219	23	0	2	0.08	16.5	33	0.0
220	18	0	2	0.055	12.5	25	0.0
221	55	0	2	0.1425	35.5	71	0.25
222	83	0	2	0.2225	50.0	100	0.75
223	20	0	2	0.055	17.0	34	0.25
224	39	0	2	0.1175	31.5	63	0.0
225	18	0	2	0.075	15.5	31	0.0
226	33	0	2	0.1275	28.0	56	0.25
227	23	0	2	0.0725	16.0	32	0.0
228	31	0	2	0.0875	18.0	36	0.0
229	35	0	2	0.0825	19.0	38	0.25
230	28	0	2	0.0725	16.5	33	0.25
231	20	0	2	0.045	13.0	26	0.0
232	23	0	2	0.085	18.5	37	0.0
233	44	0	2	0.1175	30.0	60	0.75
234	16	0	2	0.0475	12.0	24	0.0
235	25	0	2	0.0575	12.5	25	0.25
236	32	0	2	0.0825	18.5	37	0.0
237	26	0	2	0.0875	21.0	42	0.0
238	2	0	2	0.0	0.0	0	0.0
239	26	0	2	0.09	23.0	46	0.0
240	25	0	2	0.0575	15.0	30	0.0
241	27	0	2	0.085	22.0	44	0.25
242	45	0	2	0.155	34.0	68	0.5
243	12	0	2	0.025	10.0	20	0.0
244	32	0	2	0.0775	16.0	32	0.25
245	32	0	2	0.0775	21.0	42	0.5
246	25	0	2	0.085	22.5	45	0.0
247	32	0	2	0.115	25.5	51	0.0
248	17	0	2	0.07	14.5	29	0.0
249	42	0	2	0.135	31.5	63	0.25
250	51	0	2	0.145	31.0	62	0.5
251	18	0	2	0.0475	10.0	20	0.25
252	30	0	2	0.115	27.0	54	0.75
253	24	0	2	0.055	19.5	39	0.0
254	20	0	2	0.0625	17.0	34	0.0
255	19	0	2	0.045	11.5	23	0.0
256	24	0	2	0.055	13.5	27	0.0
257	44	0	2	0.11	25.5	51	0.75
258	31	0	2	0.1125	25.5	51	0.0
259	22	0	2	0.0575	14.0	28	0.25
260	28	0	2	0.065	26.0	52	0.25
261	22	0	2	0.05	11.0	22	0.25
262	35	0	2	0.0875	25.0	50	0.0
263	27	0	2	0.0875	22.0	44	0.0
264	54	0	2	0.16	32.5	65	0.5
265	9	0	2	0.0175	7.0	14	0.0
266	5	0	2	0.0075	3.0	6	0.0
267	7	0	2	0.0125	5.0	10	0.0
268	16	0	2	0.035	9.0	18	0.25
269	32	0	2	0.08	20.5	41	0.0
270	19	0	2	0.0525	14.0	28	0.0
271	22	0	2	0.06	13.5	27	0.0
272	11	0	2	0.0225	9.0	18	0.25
273	28	0	2	0.0975	23.0	46	0.0
274	31	0	2	0.0725	19.5	39	0.5
275	26	0	2	0.06	18.0	36	0.25
276	30	0	2	0.0775	23.0	46	0.0
277	75	1	1	0.1975	52.5	105	1.0
278	34	0	2	0.1025	27.0	54	0.25
279	32	0	2	0.1	28.0	56	0.0
280	27	0	2	0.0775	25.0	50	0.25
281	6	0	2	0.0125	3.5	7	0.0
282	5	0	2	0.0075	3.0	6	0.0
283	32	0	2	0.11	24.0	48	0.75
284	13	0	2	0.04	9.0	18	0.0
285	62	0	2	0.165	51.0	102	0.5
286	28	0	2	0.09	22.0	44	0.0
287	20	0	2	0.06	15.0	30	0.0
288	27	0	2	0.0975	22.5	45	0.0
289	68	1	1	0.195	46.5	93	1.0
290	19	0	2	0.0425	10.0	20	0.25
291	22	0	2	0.07	16.0	32	0.0
292	28	0	2	0.0775	19.5	39	0.0
293	31	0	2	0.0775	18.5	37	0.25
294	29	0	2	0.0675	14.5	29	0.0
295	51	0	2	0.1325	30.0	60	0.25
296	55	0	2	0.14	32.5	65	0.75
297	24	0	2	0.0725	18.5	37	0.0
298	20	0	2	0.05	13.0	26	0.0
299	22	0	2	0.0825	18.5	37	0.0
300	33	0	2	0.11	28.5	57	0.0
301	63	0	2	0.1825	43.0	86	0.75
302	30	0	2	0.0875	23.0	46	0.25
303	14	0	2	0.0425	9.5	19	0.0
304	10	0	2	0.02	8.0	16	0.0
305	30	0	2	0.0825	20.5	41	0.0
306	8	0	2	0.02	5.5	11	0.0
307	42	0	2	0.1425	29.0	58	0.25
308	23	0	2	0.0825	19.5	39	0.0
309	41	0	2	0.16	34.0	68	0.5
310	37	0	2	0.0975	24.5	49	0.25
311	22	0	2	0.0525	13.5	27	0.0
312	20	0	2	0.055	17.5	35	0.0
313	32	0	2	0.13	26.5	53	0.25
314	58	1	1	0.1575	42.0	84	1.0
315	18	0	2	0.065	15.0	30	0.0
316	26	0	2	0.0825	18.5	37	0.25
317	34	0	2	0.135	32.0	64	0.5
318	22	0	2	0.0525	14.0	28	0.0
319	28	0	2	0.07	20.5	41	0.0
320	26	0	2	0.06	13.5	27	0.0
321	49	0	2	0.1175	25.0	50	0.75
322	36	0	2	0.1025	23.5	47	0.0
323	19	0	2	0.0425	17.0	34	0.0
324	36	0	2	0.085	19.5	39	0.25
325	33	0	2	0.08	22.0	44	0.0
326	38	0	2	0.1	26.0	52	0.75
327	102	0	2	0.24	62.0	124	0.75
328	27	0	2	0.0675	18.0	36	0.0
329	68	0	2	0.185	58.0	116	0.75
330	35	0	2	0.11	28.5	57	0.0
331	26	0	2	0.0725	15.0	30	0.0
332	109	0	2	0.245	56.0	112	0.75
333	83	0	2	0.25	59.0	118	0.75
334	47	0	2	0.125	30.0	60	0.25
335	13	0	2	0.045	10.0	20	0.0
336	27	0	2	0.0725	15.0	30	0.0
337	16	0	2	0.05	11.0	22	0.0
338	17	0	2	0.0425	10.5	21	0.0
339	50	0	2	0.1925	41.0	82	0.5
340	40	1	1	0.1275	33.5	67	1.0
341	17	0	2	0.065	15.0	30	0.0
342	14	0	2	0.0325	9.5	19	0.0
343	22	0	2	0.06	18.0	36	0.0
344	40	0	2	0.145	36.5	73	0.5
345	35	0	2	0.1225	30.0	60	0.25
346	24	0	2	0.0625	19.0	38	0.25
347	16	0	2	0.035	8.0	16	0.0
348	14	0	2	0.055	11.5	23	0.25
349	32	0	2	0.075	17.0	34	0.25
350	27	0	2	0.0625	15.5	31	0.0
351	43	0	2	0.1125	25.0	50	0.25
352	20	0	2	0.065	16.0	32	0.0
353	14	0	2	0.045	11.5	23	0.0
354	34	0	2	0.0875	19.5	39	0.0
355	27	0	2	0.1	24.5	49	0.0
356	27	0	2	0.065	15.5	31	0.0
357	30	0	2	0.08	22.5	45	0.0
358	32	0	2	0.085	24.0	48	0.0
359	18	0	2	0.04	11.0	22	0.0
360	33	0	2	0.1175	26.5	53	0.25
361	9	0	2	0.0175	7.0	14	0.0
362	55	0	2	0.1325	36.0	72	0.75
363	54	1	1	0.145	33.0	66	1.0
364	20	0	2	0.045	18.0	36	0.0
365	35	0	2	0.1125	31.0	62	0.5
366	37	0	2	0.1	29.0	58	0.0
367	17	0	2	0.065	14.0	28	0.0
368	25	0	2	0.1	22.5	45	0.0
369	78	0	2	0.1925	44.0	88	0.75
370	56	0	2	0.135	34.0	68	0.25
371	28	0	2	0.09	22.0	44	0.0
372	40	0	2	0.1375	31.0	62	0.25
373	30	0	2	0.09	19.5	39	0.5
374	37	0	2	0.1025	24.5	49	0.5
375	56	0	2	0.145	32.0	64	0.75
376	27	0	2	0.0875	21.0	42	0.0
377	35	0	2	0.1175	29.5	59	0.0
378	40	0	2	0.115	26.0	52	0.5
379	24	0	2	0.07	17.5	35	0.0
380	23	0	2	0.0775	20.5	41	0.0
381	25	0	2	0.0725	17.5	35	0.25
382	27	0	2	0.08	23.0	46	0.0
383	81	0	2	0.2	48.0	96	0.75
384	26	0	2	0.0825	22.5	45	0.5
385	27	0	2	0.065	15.0	30	0.0
386	30	0	2	0.07	15.0	30	0.25
387	28	0	2	0.1075	23.5	47	0.0
388	32	1	1	0.1275	29.0	58	1.0
389	52	0	2	0.11	28.5	57	0.5
390	29	0	2	0.1	26.0	52	0.25
391	79	0	2	0.21	57.0	114	0.75
392	21	0	2	0.0475	19.0	38	0.0
393	19	0	2	0.075	15.5	31	0.25
394	15	0	2	0.0625	13.0	26	0.0
395	53	0	2	0.15	35.0	70	0.5
396	32	0	2	0.11	26.5	53	0.0
397	43	0	2	0.125	26.5	53	0.25
398	26	0	2	0.0675	20.0	40	0.0
399	106	0	2	0.25	63.0	126	0.75
400	12	0	2	0.025	10.0	20	0.0
401	26	0	2	0.0775	17.5	35	0.0
402	25	0	2	0.0825	19.5	39	0.0
403	46	0	2	0.1125	23.5	47	0.5
404	23	0	2	0.075	18.0	36	0.0
405	29	0	2	0.0925	20.0	40	0.25
406	36	0	2	0.12	25.5	51	0.0
407	28	0	2	0.065	13.5	27	0.25
408	30	0	2	0.0875	18.0	36	0.0
409	29	0	2	0.1075	26.5	53	0.0
410	23	0	2	0.0625	20.5	41	0.0
411	32	0	2	0.105	25.5	51	0.0
412	32	0	2	0.095	22.0	44	0.0
413	34	0	2	0.1125	25.0	50	0.0
414	55	0	2	0.1325	27.0	54	0.5
415	19	0	2	0.0425	11.5	23	0.25
416	4	0	2	0.005	2.0	4	0.0
417	28	0	2	0.09	24.5	49	0.0
418	20	0	2	0.0525	14.5	29	0.0
419	19	0	2	0.05	14.0	28	0.25
420	17	0	2	0.0475	15.0	30	0.25
421	16	0	2	0.05	11.5	23	0.0
422	24	0	2	0.075	17.0	34	0.0
423	29	0	2	0.07	15.5	31	0.0
424	57	1	1	0.1875	43.5	87	1.0
425	34	0	2	0.1	21.0	42	0.0
426	47	0	2	0.1125	28.0	56	0.75
427	45	0	2	0.115	28.0	56	0.25
428	28	0	2	0.0975	24.5	49	0.0
429	25	0	2	0.0975	22.0	44	0.25
430	20	0	2	0.085	17.5	35	0.0
431	22	0	2	0.075	18.0	36	0.0
432	33	0	2	0.0775	16.5	33	0.5
433	19	0	2	0.0425	17.0	34	0.0
434	15	0	2	0.04	9.0	18	0.0
435	23	0	2	0.0775	17.0	34	0.25
436	15	0	2	0.0425	11.0	22	0.0
437	26	0	2	0.0975	21.5	43	0.0
438	37	0	2	0.1325	31.5	63	0.25
439	54	0	2	0.1575	41.0	82	0.75
440	11	0	2	0.04	8.5	17	0.0
441	24	0	2	0.0975	21.5	43	0.0
442	64	0	2	0.1725	43.0	86	0.75
443	38	0	2	0.0725	29.0	58	0.25
444	76	0	2	0.1875	42.0	84	0.75
445	33	0	2	0.0775	18.5	37	0.25
446	20	0	2	0.0725	18.0	36	0.0
447	35	0	2	0.0925	19.5	39	0.0
448	82	0	2	0.2125	45.0	90	0.75
449	26	0	2	0.0725	20.0	40	0.0
450	38	0	2	0.115	32.5	65	0.0
451	16	0	2	0.0375	8.0	16	0.25
452	15	0	2	0.055	11.5	23	0.0
453	35	0	2	0.1075	25.5	51	0.0
454	19	0	2	0.0825	17.0	34	0.0
455	55	0	2	0.1075	29.0	58	0.5
456	24	0	2	0.0725	20.0	40	0.0
457	70	0	2	0.19	42.0	84	0.75
458	2	0	2	0.0	0.0	0	0.0
459	34	0	2	0.125	26.0	52	0.25
460	28	0	2	0.1	21.0	42	0.0
461	48	0	2	0.1525	35.5	71	0.25
462	33	0	2	0.1175	30.5	61	0.25
463	19	0	2	0.075	16.0	32	0.0
464	34	0	2	0.11	25.5	51	0.25
465	36	0	2	0.095	23.5	47	0.0
466	46	1	1	0.1125	26.0	52	1.0
467	28	0	2	0.065	26.0	52	0.0
468	18	0	2	0.0425	12.0	24	0.0
469	10	0	2	0.02	8.0	16	0.0
470	63	0	2	0.135	30.5	61	0.75
471	12	0	2	0.025	10.0	20	0.0
472	28	0	2	0.085	19.5	39	0.25
473	30	0	2	0.075	18.5	37	0.0
474	22	0	2	0.0675	16.5	33	0.0
475	17	0	2	0.0375	15.0	30	0.0
476	23	0	2	0.0525	18.5	37	0.0
477	34	0	2	0.1	21.5	43	0.0
478	25	0	2	0.095	21.5	43	0.25
479	60	1	1	0.1475	33.5	67	1.0
480	21	0	2	0.08	19.0	38	0.0
481	58	1	1	0.145	31.0	62	1.0
482	22	0	2	0.0725	17.5	35	0.0
483	23	0	2	0.0625	19.0	38	0.25
484	91	0	2	0.2075	52.0	104	0.75
485	64	0	2	0.18	43.0	86	0.75
486	51	1	1	0.2	42.5	85	1.0
487	35	0	2	0.1225	31.5	63	0.0
488	30	0	2	0.09	24.5	49	0.0
489	30	0	2	0.0775	16.5	33	0.0
490	27	0	2	0.09	23.0	46	0.0
491	24	0	2	0.065	15.5	31	0.0
492	6	0	2	0.01	4.0	8	0.0
493	19	0	2	0.05	13.0	26	0.0
494	28	0	2	0.09	18.5	37	0.0
495	94	1	1	0.19	50.5	101	1.0
496	40	0	2	0.115	28.5	57	0.0
497	24	0	2	0.0975	20.0	40	0.0
498	27	0	2	0.0975	20.0	40	0.0
499	33	0	2	0.0875	23.5	47	0.25
500	19	0	2	0.0775	16.0	32	0.0
501	22	0	2	0.065	16.0	32	0.0
502	52	0	2	0.1825	41.5	83	0.75
503	38	0	2	0.0925	25.0	50	0.0
504	30	0	2	0.105	26.0	52	0.0
505	24	0	2	0.0625	14.0	28	0.0
506	30	0	2	0.105	25.0	50	0.0
507	31	0	2	0.1025	25.0	50	0.0
508	12	0	2	0.03	9.5	19	0.0
509	31	0	2	0.095	26.5	53	0.0
510	38	0	2	0.15	32.5	65	0.25
511	5	0	2	0.0075	3.0	6	0.0
512	34	0	2	0.08	17.0	34	0.25
513	67	0	2	0.185	39.0	78	0.5
514	21	0	2	0.0625	17.0	34	0.0
515	79	0	2	0.195	49.0	98	0.75
516	6	0	2	0.01	4.0	8	0.0
517	53	0	2	0.14	35.0	70	0.25
518	13	0	2	0.0275	11.0	22	0.0
519	17	0	2	0.0525	13.5	27	0.0
520	41	0	2	0.105	28.0	56	0.75
521	45	0	2	0.145	29.5	59	0.25
522	44	0	2	0.1175	30.0	60	0.5
523	25	0	2	0.065	15.0	30	0.0
524	19	0	2	0.0575	14.5	29	0.0
525	13	0	2	0.04	8.5	17	0.0
526	23	0	2	0.0975	21.0	42	0.25
527	2	0	2	0.0	0.0	0	0.0
528	14	0	2	0.0525	11.5	23	0.0
529	26	0	2	0.075	17.5	35	0.0
530	32	0	2	0.075	19.0	38	0.25
531	14	0	2	0.045	10.5	21	0.0
532	40	0	2	0.135	31.5	63	0.5
533	24	0	2	0.06	13.0	26	0.0
534	16	0	2	0.0375	8.0	16	0.0
535	27	0	2	0.1075	22.0	44	0.0
536	59	0	2	0.1475	34.0	68	0.75
537	21	0	2	0.07	18.0	36	0.0
538	35	0	2	0.0825	23.5	47	0.25
539	43	0	2	0.11	25.5	51	0.25
540	66	1	1	0.195	40.0	80	1.0
541	16	0	2	0.0425	9.0	18	0.0
542	29	0	2	0.07	18.0	36	0.0
543	69	0	2	0.2175	52.5	105	0.75
544	32	0	2	0.115	27.5	55	0.0
545	32	0	2	0.085	23.5	47	0.0
546	24	0	2	0.085	21.0	42	0.25
547	31	0	2	0.0875	25.0	50	0.0
548	27	0	2	0.075	21.0	42	0.0
549	25	0	2	0.0925	21.0	42	0.25
550	35	0	2	0.0825	33.0	66	0.25
551	32	0	2	0.085	19.0	38	0.0
552	50	0	2	0.12	26.0	52	0.25
553	21	0	2	0.08	18.5	37	0.0
554	25	0	2	0.0875	22.5	45	0.0
555	29	0	2	0.08	19.5	39	0.0
556	22	0	2	0.06	15.0	30	0.0
557	50	0	2	0.12	26.0	52	0.25
558	5	0	2	0.0075	3.0	6	0.0
559	30	0	2	0.1	25.0	50	0.0
560	30	0	2	0.08	23.0	46	0.0
561	15	0	2	0.05	11.0	22	0.0
562	23	0	2	0.0725	15.5	31	0.25
563	20	0	2	0.0575	18.0	36	0.0
564	63	0	2	0.1625	42.0	84	0.75
565	16	0	2	0.045	13.5	27	0.25
566	27	0	2	0.07	17.5	35	0.25
567	17	0	2	0.06	14.5	29	0.0
568	74	0	2	0.175	38.0	76	0.75
569	21	0	2	0.085	18.5	37	0.0
570	17	0	2	0.0475	11.5	23	0.0
571	60	0	2	0.16	35.0	70	0.75
572	93	0	2	0.2275	58.0	116	0.75
573	33	0	2	0.095	22.5	45	0.0
574	25	0	2	0.09	21.0	42	0.0
575	34	0	2	0.0825	18.5	37	0.0
576	12	0	2	0.035	10.0	20	0.0
577	39	0	2	0.11	31.0	62	0.25
578	22	0	2	0.0775	19.5	39	0.25
579	32	0	2	0.0975	25.0	50	0.0
580	31	0	2	0.11	23.5	47	0.0
581	22	0	2	0.06	15.0	30	0.0
582	16	0	2	0.05	13.0	26	0.25
583	37	0	2	0.0875	20.5	41	0.25
584	46	0	2	0.12	28.0	56	0.25
585	35	0	2	0.0925	26.5	53	0.0
586	37	0	2	0.1	26.5	53	0.25
587	20	0	2	0.055	17.5	35	0.0
588	42	0	2	0.11	29.5	59	0.25
589	31	0	2	0.1125	25.0	50	0.25
590	32	0	2	0.075	22.5	45	0.0
591	29	0	2	0.0925	25.0	50	0.25
592	45	0	2	0.1325	30.0	60	0.75
593	43	0	2	0.13	31.5	63	0.25
594	29	0	2	0.0975	20.5	41	0.0
595	37	0	2	0.1025	24.0	48	0.0
596	35	0	2	0.0825	18.0	36	0.25
597	24	0	2	0.09	20.5	41	0.0
598	57	0	2	0.1525	31.0	62	0.5
599	39	0	2	0.1225	25.0	50	0.25
600	33	0	2	0.1225	27.5	55	0.5
601	27	0	2	0.075	17.5	35	0.25
602	39	0	2	0.1125	24.0	48	0.25
603	32	0	2	0.11	28.5	57	0.0
604	70	0	2	0.19	41.0	82	0.75
605	15	0	2	0.05	12.0	24	0.25
606	23	0	2	0.0525	11.0	22	0.0
607	64	0	2	0.21	43.5	87	0.5
608	58	1	1	0.175	39.0	78	1.0
609	32	0	2	0.1025	26.5	53	0.0
610	19	0	2	0.045	15.5	31	0.0
611	58	1	1	0.14	31.5	63	1.0
612	23	0	2	0.0575	12.5	25	0.25
613	74	0	2	0.19	47.0	94	0.75
614	23	0	2	0.0525	16.0	32	0.0
615	23	0	2	0.0575	17.0	34	0.0
616	24	0	2	0.055	11.0	22	0.0
617	39	0	2	0.1175	28.5	57	0.0
618	50	0	2	0.12	27.0	54	0.5
619	43	0	2	0.1275	28.0	56	0.25
620	35	0	2	0.125	30.0	60	0.25
